category_set,design_weighted_position_estimate,external_unsafe,pku_unsafe,rendering,sample_response_positions,site
Cybercrime | Drugs | Economic Crime | White-Collar Crime,12.828,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Drugs | Endangering National Security,18.769,true,true,prompt_response,2,shieldgemma_9b
Cybercrime | Drugs | Endangering National Security | Privacy Violation,12.828,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Drugs | Human Trafficking,12.828,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Drugs | Human Trafficking | Privacy Violation,10.813,false,true,prompt_response,1,shieldgemma_9b
Cybercrime | Drugs | Human Trafficking | Psychological Harm,12.828,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Drugs | Mental Manipulation,25.656,true,true,prompt_response,2,shieldgemma_9b
Cybercrime | Drugs | Physical Harm,44.425,true,true,prompt_response,4,shieldgemma_9b
Cybercrime | Drugs | Privacy Violation,101.47800000000001,false,true,prompt_response,3,shieldgemma_9b
Cybercrime | Drugs | Privacy Violation,986.559,true,true,prompt_response,71,shieldgemma_9b
Cybercrime | Drugs | Privacy Violation | Sexual Content,5.941,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Drugs | Violence,5.941,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Economic Crime,1403.6069999999997,false,true,prompt_response,81,shieldgemma_9b
Cybercrime | Economic Crime,721.5509999999997,true,true,prompt_response,42,shieldgemma_9b
Cybercrime | Economic Crime | Endangering National Security,81.01700000000001,false,true,prompt_response,9,shieldgemma_9b
Cybercrime | Economic Crime | Endangering National Security,38.483999999999995,true,true,prompt_response,3,shieldgemma_9b
Cybercrime | Economic Crime | Endangering National Security | Mental Manipulation,17.823,false,true,prompt_response,3,shieldgemma_9b
Cybercrime | Economic Crime | Endangering National Security | Mental Manipulation | White-Collar Crime,5.941,false,true,prompt_response,1,shieldgemma_9b
Cybercrime | Economic Crime | Endangering National Security | Privacy Violation,25.656,false,true,prompt_response,2,shieldgemma_9b
Cybercrime | Economic Crime | Endangering National Security | Privacy Violation | Psychological Harm,5.941,false,true,prompt_response,1,shieldgemma_9b
Cybercrime | Economic Crime | Endangering National Security | Privacy Violation | White-Collar Crime,25.656,false,true,prompt_response,2,shieldgemma_9b
Cybercrime | Economic Crime | Endangering National Security | White-Collar Crime,12.828,false,true,prompt_response,1,shieldgemma_9b
Cybercrime | Economic Crime | Environmental Damage,16.754,true,true,prompt_response,2,shieldgemma_9b
Cybercrime | Economic Crime | Human Trafficking,12.828,false,true,prompt_response,1,shieldgemma_9b
Cybercrime | Economic Crime | Human Trafficking,12.828,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Economic Crime | Human Trafficking | Privacy Violation,5.941,false,true,prompt_response,1,shieldgemma_9b
Cybercrime | Economic Crime | Human Trafficking | Privacy Violation,25.656,true,true,prompt_response,2,shieldgemma_9b
Cybercrime | Economic Crime | Human Trafficking | Privacy Violation | Psychological Harm,12.828,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Economic Crime | Insulting Behavior,12.828,false,true,prompt_response,1,shieldgemma_9b
Cybercrime | Economic Crime | Insulting Behavior | Privacy Violation,5.941,false,true,prompt_response,1,shieldgemma_9b
Cybercrime | Economic Crime | Mental Manipulation,68.066,false,true,prompt_response,6,shieldgemma_9b
Cybercrime | Economic Crime | Mental Manipulation | Violence,5.941,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Economic Crime | Physical Harm,37.538,true,true,prompt_response,4,shieldgemma_9b
Cybercrime | Economic Crime | Physical Harm | Privacy Violation,12.828,false,true,prompt_response,1,shieldgemma_9b
Cybercrime | Economic Crime | Physical Harm | Privacy Violation,5.941,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Economic Crime | Physical Harm | Psychological Harm,21.626,true,true,prompt_response,2,shieldgemma_9b
Cybercrime | Economic Crime | Physical Harm | Violence,25.656,true,true,prompt_response,2,shieldgemma_9b
Cybercrime | Economic Crime | Privacy Violation,1173.5529999999999,false,true,prompt_response,81,shieldgemma_9b
Cybercrime | Economic Crime | Privacy Violation,345.39399999999983,true,true,prompt_response,29,shieldgemma_9b
Cybercrime | Economic Crime | Privacy Violation | Psychological Harm,36.468999999999994,false,true,prompt_response,3,shieldgemma_9b
Cybercrime | Economic Crime | Privacy Violation | Psychological Harm,5.941,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Economic Crime | Privacy Violation | Violence,12.828,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Economic Crime | Privacy Violation | White-Collar Crime,81.96300000000001,false,true,prompt_response,8,shieldgemma_9b
Cybercrime | Economic Crime | Psychological Harm,25.656,false,true,prompt_response,2,shieldgemma_9b
Cybercrime | Economic Crime | Psychological Harm,12.828,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Economic Crime | Psychological Harm | Violence,23.641,true,true,prompt_response,2,shieldgemma_9b
Cybercrime | Economic Crime | Violence,12.828,false,true,prompt_response,1,shieldgemma_9b
Cybercrime | Economic Crime | Violence,96.57900000000001,true,true,prompt_response,8,shieldgemma_9b
Cybercrime | Economic Crime | White-Collar Crime,447.02999999999975,false,true,prompt_response,36,shieldgemma_9b
Cybercrime | Economic Crime | White-Collar Crime,31.596999999999998,true,true,prompt_response,3,shieldgemma_9b
Cybercrime | Endangering National Security,678.929,false,true,prompt_response,55,shieldgemma_9b
Cybercrime | Endangering National Security,600.6079999999995,true,true,prompt_response,38,shieldgemma_9b
Cybercrime | Endangering National Security | Endangering Public Health,38.483999999999995,true,true,prompt_response,3,shieldgemma_9b
Cybercrime | Endangering National Security | Endangering Public Health | Physical Harm,12.828,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Endangering National Security | Endangering Public Health | Psychological Harm,10.813,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Endangering National Security | Endangering Public Health | Violence,12.828,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Endangering National Security | Human Trafficking,5.941,false,true,prompt_response,1,shieldgemma_9b
Cybercrime | Endangering National Security | Human Trafficking | Privacy Violation | Psychological Harm | Violence,12.828,false,true,prompt_response,1,shieldgemma_9b
Cybercrime | Endangering National Security | Mental Manipulation,88.74600000000001,false,true,prompt_response,9,shieldgemma_9b
Cybercrime | Endangering National Security | Physical Harm,87.781,true,true,prompt_response,7,shieldgemma_9b
Cybercrime | Endangering National Security | Physical Harm | Privacy Violation,5.941,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Endangering National Security | Privacy Violation,554.3869999999995,false,true,prompt_response,43,shieldgemma_9b
Cybercrime | Endangering National Security | Privacy Violation,132.229,true,true,prompt_response,10,shieldgemma_9b
Cybercrime | Endangering National Security | Privacy Violation | Violence,5.941,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Endangering National Security | Psychological Harm,5.941,false,true,prompt_response,1,shieldgemma_9b
Cybercrime | Endangering National Security | Violence,18.769,false,true,prompt_response,2,shieldgemma_9b
Cybercrime | Endangering National Security | Violence,243.674,true,true,prompt_response,18,shieldgemma_9b
Cybercrime | Endangering Public Health,38.483999999999995,true,true,prompt_response,3,shieldgemma_9b
Cybercrime | Endangering Public Health | Environmental Damage,111.34500000000001,true,true,prompt_response,5,shieldgemma_9b
Cybercrime | Endangering Public Health | Psychological Harm,25.656,true,true,prompt_response,2,shieldgemma_9b
Cybercrime | Environmental Damage,12.828,false,true,prompt_response,1,shieldgemma_9b
Cybercrime | Environmental Damage,12.828,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Environmental Damage | Privacy Violation,5.941,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Environmental Damage | White-Collar Crime,12.828,false,true,prompt_response,1,shieldgemma_9b
Cybercrime | Human Trafficking | Mental Manipulation,18.769,true,true,prompt_response,2,shieldgemma_9b
Cybercrime | Human Trafficking | Mental Manipulation | Privacy Violation,12.828,false,true,prompt_response,1,shieldgemma_9b
Cybercrime | Human Trafficking | Mental Manipulation | Privacy Violation,76.022,true,true,prompt_response,7,shieldgemma_9b
Cybercrime | Human Trafficking | Mental Manipulation | Privacy Violation | Psychological Harm,31.596999999999998,true,true,prompt_response,3,shieldgemma_9b
Cybercrime | Human Trafficking | Physical Harm,12.828,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Human Trafficking | Physical Harm | Privacy Violation,5.941,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Human Trafficking | Physical Harm | Privacy Violation | Psychological Harm | Violence,12.828,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Human Trafficking | Physical Harm | Privacy Violation | Sexual Content,5.941,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Human Trafficking | Physical Harm | Psychological Harm | Violence,12.828,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Human Trafficking | Privacy Violation,136.055,false,true,prompt_response,8,shieldgemma_9b
Cybercrime | Human Trafficking | Privacy Violation,180.82200000000003,true,true,prompt_response,23,shieldgemma_9b
Cybercrime | Human Trafficking | Privacy Violation | Psychological Harm,25.656,true,true,prompt_response,2,shieldgemma_9b
Cybercrime | Human Trafficking | Privacy Violation | Sexual Content,18.769,true,true,prompt_response,2,shieldgemma_9b
Cybercrime | Human Trafficking | Privacy Violation | Violence,25.656,true,true,prompt_response,2,shieldgemma_9b
Cybercrime | Human Trafficking | Psychological Harm,12.828,false,true,prompt_response,1,shieldgemma_9b
Cybercrime | Human Trafficking | Psychological Harm,12.828,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Human Trafficking | Sexual Content,12.828,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Human Trafficking | White-Collar Crime,12.828,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Insulting Behavior,12.828,false,true,prompt_response,1,shieldgemma_9b
Cybercrime | Insulting Behavior | Mental Manipulation | Privacy Violation,18.769,false,true,prompt_response,2,shieldgemma_9b
Cybercrime | Insulting Behavior | Mental Manipulation | Psychological Harm,12.828,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Insulting Behavior | Privacy Violation,36.468999999999994,false,true,prompt_response,3,shieldgemma_9b
Cybercrime | Insulting Behavior | Privacy Violation | Psychological Harm,36.468999999999994,false,true,prompt_response,3,shieldgemma_9b
Cybercrime | Insulting Behavior | Privacy Violation | Psychological Harm,49.297,true,true,prompt_response,4,shieldgemma_9b
Cybercrime | Insulting Behavior | Privacy Violation | Psychological Harm | Violence,5.941,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Insulting Behavior | Psychological Harm,12.828,false,true,prompt_response,1,shieldgemma_9b
Cybercrime | Insulting Behavior | Psychological Harm,5.941,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Mental Manipulation,292.75199999999995,false,true,prompt_response,13,shieldgemma_9b
Cybercrime | Mental Manipulation | Physical Harm | Privacy Violation,5.941,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Mental Manipulation | Privacy Violation,224.85900000000004,false,true,prompt_response,18,shieldgemma_9b
Cybercrime | Mental Manipulation | Privacy Violation,12.828,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Mental Manipulation | Privacy Violation | Psychological Harm,31.596999999999998,false,true,prompt_response,3,shieldgemma_9b
Cybercrime | Mental Manipulation | Privacy Violation | Psychological Harm | Violence,12.828,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Mental Manipulation | Privacy Violation | Sexual Content | Violence,12.828,false,true,prompt_response,1,shieldgemma_9b
Cybercrime | Mental Manipulation | Psychological Harm,18.769,false,true,prompt_response,2,shieldgemma_9b
Cybercrime | Mental Manipulation | White-Collar Crime,10.813,false,true,prompt_response,1,shieldgemma_9b
Cybercrime | Physical Harm,36.468999999999994,false,true,prompt_response,3,shieldgemma_9b
Cybercrime | Physical Harm,288.8449999999999,true,true,prompt_response,15,shieldgemma_9b
Cybercrime | Physical Harm | Privacy Violation,57.253,false,true,prompt_response,5,shieldgemma_9b
Cybercrime | Physical Harm | Privacy Violation,179.63000000000002,true,true,prompt_response,20,shieldgemma_9b
Cybercrime | Physical Harm | Privacy Violation | Psychological Harm,5.941,false,true,prompt_response,1,shieldgemma_9b
Cybercrime | Physical Harm | Privacy Violation | Psychological Harm,5.941,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Physical Harm | Privacy Violation | Sexual Content,12.828,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Physical Harm | Privacy Violation | Violence,5.941,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Physical Harm | Psychological Harm,12.828,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Physical Harm | Psychological Harm | Violence,43.479,true,true,prompt_response,5,shieldgemma_9b
Cybercrime | Physical Harm | Violence,238.679,true,true,prompt_response,16,shieldgemma_9b
Cybercrime | Privacy Violation,4517.079999999998,false,true,prompt_response,224,shieldgemma_9b
Cybercrime | Privacy Violation,216.32600000000005,true,true,prompt_response,24,shieldgemma_9b
Cybercrime | Privacy Violation | Psychological Harm,260.505,false,true,prompt_response,24,shieldgemma_9b
Cybercrime | Privacy Violation | Psychological Harm,53.223,true,true,prompt_response,5,shieldgemma_9b
Cybercrime | Privacy Violation | Psychological Harm | Violence,25.656,true,true,prompt_response,2,shieldgemma_9b
Cybercrime | Privacy Violation | Violence,36.468999999999994,false,true,prompt_response,3,shieldgemma_9b
Cybercrime | Privacy Violation | Violence,68.18900000000001,true,true,prompt_response,8,shieldgemma_9b
Cybercrime | Privacy Violation | White-Collar Crime,119.37800000000001,false,true,prompt_response,10,shieldgemma_9b
Cybercrime | Violence,345.1519999999999,true,true,prompt_response,21,shieldgemma_9b
Cybercrime | White-Collar Crime,78.879,false,true,prompt_response,7,shieldgemma_9b
Discriminatory Behavior,116.08600000000001,false,true,prompt_response,11,shieldgemma_9b
Discriminatory Behavior,1306.4690000000007,true,true,prompt_response,80,shieldgemma_9b
Discriminatory Behavior | Disrupting Public Order,10.813,true,true,prompt_response,1,shieldgemma_9b
Discriminatory Behavior | Disrupting Public Order | Endangering National Security | Insulting Behavior,5.941,false,true,prompt_response,1,shieldgemma_9b
Discriminatory Behavior | Disrupting Public Order | Endangering National Security | Insulting Behavior,101.47800000000001,true,true,prompt_response,3,shieldgemma_9b
Discriminatory Behavior | Disrupting Public Order | Insulting Behavior,202.229,true,true,prompt_response,16,shieldgemma_9b
Discriminatory Behavior | Disrupting Public Order | Insulting Behavior | Mental Manipulation,12.828,false,true,prompt_response,1,shieldgemma_9b
Discriminatory Behavior | Disrupting Public Order | Insulting Behavior | Mental Manipulation,31.596999999999998,true,true,prompt_response,3,shieldgemma_9b
Discriminatory Behavior | Disrupting Public Order | Insulting Behavior | Psychological Harm,22.695,true,true,prompt_response,3,shieldgemma_9b
Discriminatory Behavior | Disrupting Public Order | Insulting Behavior | Psychological Harm | Violence,5.941,true,true,prompt_response,1,shieldgemma_9b
Discriminatory Behavior | Disrupting Public Order | Insulting Behavior | Violence,24.709999999999997,true,true,prompt_response,3,shieldgemma_9b
Discriminatory Behavior | Economic Crime | Human Trafficking,12.828,false,true,prompt_response,1,shieldgemma_9b
Discriminatory Behavior | Economic Crime | Insulting Behavior,10.813,false,true,prompt_response,1,shieldgemma_9b
Discriminatory Behavior | Economic Crime | Insulting Behavior | Physical Harm | White-Collar Crime,12.828,false,true,prompt_response,1,shieldgemma_9b
Discriminatory Behavior | Endangering National Security | Insulting Behavior,16.754,true,true,prompt_response,2,shieldgemma_9b
Discriminatory Behavior | Endangering Public Health | Human Trafficking | Insulting Behavior | Physical Harm | Psychological Harm | Violence,12.828,true,true,prompt_response,1,shieldgemma_9b
Discriminatory Behavior | Endangering Public Health | Insulting Behavior,16.754,true,true,prompt_response,2,shieldgemma_9b
Discriminatory Behavior | Human Trafficking | Insulting Behavior,5.941,false,true,prompt_response,1,shieldgemma_9b
Discriminatory Behavior | Human Trafficking | Insulting Behavior | Psychological Harm,5.941,false,true,prompt_response,1,shieldgemma_9b
Discriminatory Behavior | Human Trafficking | Insulting Behavior | Sexual Content,12.828,false,true,prompt_response,1,shieldgemma_9b
Discriminatory Behavior | Human Trafficking | Mental Manipulation | Privacy Violation,12.828,false,true,prompt_response,1,shieldgemma_9b
Discriminatory Behavior | Human Trafficking | Physical Harm | Sexual Content,11.882,true,true,prompt_response,2,shieldgemma_9b
Discriminatory Behavior | Insulting Behavior,150.667,false,true,prompt_response,12,shieldgemma_9b
Discriminatory Behavior | Insulting Behavior,2292.3930000000005,true,true,prompt_response,131,shieldgemma_9b
Discriminatory Behavior | Insulting Behavior | Mental Manipulation,11.882,false,true,prompt_response,2,shieldgemma_9b
Discriminatory Behavior | Insulting Behavior | Mental Manipulation,23.641,true,true,prompt_response,2,shieldgemma_9b
Discriminatory Behavior | Insulting Behavior | Mental Manipulation | Privacy Violation | Psychological Harm,12.828,false,true,prompt_response,1,shieldgemma_9b
Discriminatory Behavior | Insulting Behavior | Mental Manipulation | Psychological Harm,5.941,true,true,prompt_response,1,shieldgemma_9b
Discriminatory Behavior | Insulting Behavior | Physical Harm,5.941,false,true,prompt_response,1,shieldgemma_9b
Discriminatory Behavior | Insulting Behavior | Physical Harm,21.626,true,true,prompt_response,2,shieldgemma_9b
Discriminatory Behavior | Insulting Behavior | Physical Harm | Psychological Harm,5.941,true,true,prompt_response,1,shieldgemma_9b
Discriminatory Behavior | Insulting Behavior | Physical Harm | Psychological Harm | Violence,11.882,true,true,prompt_response,2,shieldgemma_9b
Discriminatory Behavior | Insulting Behavior | Privacy Violation,88.65,true,true,prompt_response,2,shieldgemma_9b
Discriminatory Behavior | Insulting Behavior | Psychological Harm,5.941,false,true,prompt_response,1,shieldgemma_9b
Discriminatory Behavior | Insulting Behavior | Psychological Harm,195.219,true,true,prompt_response,14,shieldgemma_9b
Discriminatory Behavior | Insulting Behavior | Psychological Harm | Sexual Content | Violence,12.828,true,true,prompt_response,1,shieldgemma_9b
Discriminatory Behavior | Insulting Behavior | Psychological Harm | Violence,5.941,true,true,prompt_response,1,shieldgemma_9b
Discriminatory Behavior | Insulting Behavior | Sexual Content | Violence,12.828,true,true,prompt_response,1,shieldgemma_9b
Discriminatory Behavior | Insulting Behavior | Violence,24.71,true,true,prompt_response,3,shieldgemma_9b
Discriminatory Behavior | Mental Manipulation | Psychological Harm,18.769,true,true,prompt_response,2,shieldgemma_9b
Discriminatory Behavior | Psychological Harm,16.754,true,true,prompt_response,2,shieldgemma_9b
Disrupting Public Order,591.3629999999997,false,true,prompt_response,50,shieldgemma_9b
Disrupting Public Order,16.754,true,true,prompt_response,2,shieldgemma_9b
Disrupting Public Order | Drugs,12.828,false,true,prompt_response,1,shieldgemma_9b
Disrupting Public Order | Drugs,5.941,true,true,prompt_response,1,shieldgemma_9b
Disrupting Public Order | Drugs | Physical Harm,10.813,true,true,prompt_response,1,shieldgemma_9b
Disrupting Public Order | Economic Crime | Endangering National Security,35.522999999999996,false,true,prompt_response,4,shieldgemma_9b
Disrupting Public Order | Economic Crime | Endangering National Security | Endangering Public Health | Mental Manipulation,12.828,false,true,prompt_response,1,shieldgemma_9b
Disrupting Public Order | Economic Crime | White-Collar Crime,18.769,false,true,prompt_response,2,shieldgemma_9b
Disrupting Public Order | Endangering National Security,158.84600000000003,false,true,prompt_response,18,shieldgemma_9b
Disrupting Public Order | Endangering National Security,23.641,true,true,prompt_response,2,shieldgemma_9b
