category_set,design_weighted_position_estimate,external_unsafe,pku_unsafe,rendering,sample_response_positions,site
Copyright Issues | Economic Crime | Privacy Violation,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Copyright Issues | Economic Crime | Privacy Violation | White-Collar Crime,25.656,true,true,prompt_response,2,deepseek_v4_flash_safety_judge
Copyright Issues | Economic Crime | White-Collar Crime,29.581999999999997,true,true,prompt_response,3,deepseek_v4_flash_safety_judge
Copyright Issues | Privacy Violation,5.941,false,true,prompt_response,1,deepseek_v4_flash_safety_judge
Copyright Issues | Privacy Violation,58.095,true,true,prompt_response,5,deepseek_v4_flash_safety_judge
Cybercrime,308.35599999999994,false,true,prompt_response,14,deepseek_v4_flash_safety_judge
Cybercrime,1664.2420000000004,true,true,prompt_response,133,deepseek_v4_flash_safety_judge
Cybercrime | Discriminatory Behavior | Disrupting Public Order | Drugs | Human Trafficking | Insulting Behavior | Violence,5.941,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Discriminatory Behavior | Insulting Behavior,5.941,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Disrupting Public Order,18.769,true,true,prompt_response,2,deepseek_v4_flash_safety_judge
Cybercrime | Disrupting Public Order | Economic Crime | Endangering National Security,101.47800000000001,true,true,prompt_response,3,deepseek_v4_flash_safety_judge
Cybercrime | Disrupting Public Order | Endangering National Security,409.1689999999998,true,true,prompt_response,24,deepseek_v4_flash_safety_judge
Cybercrime | Disrupting Public Order | Endangering National Security | Endangering Public Health,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Disrupting Public Order | Endangering National Security | Mental Manipulation,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Disrupting Public Order | Endangering National Security | Physical Harm | Violence,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Disrupting Public Order | Endangering National Security | Privacy Violation,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Disrupting Public Order | Endangering National Security | Psychological Harm,25.656,true,true,prompt_response,2,deepseek_v4_flash_safety_judge
Cybercrime | Disrupting Public Order | Endangering National Security | Violence,38.483999999999995,true,true,prompt_response,3,deepseek_v4_flash_safety_judge
Cybercrime | Disrupting Public Order | Endangering Public Health,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Disrupting Public Order | Endangering Public Health | Privacy Violation,10.813,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Disrupting Public Order | Environmental Damage,23.641,true,true,prompt_response,2,deepseek_v4_flash_safety_judge
Cybercrime | Disrupting Public Order | Environmental Damage | Privacy Violation,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Disrupting Public Order | Human Trafficking | Privacy Violation,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Disrupting Public Order | Insulting Behavior,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Disrupting Public Order | Mental Manipulation,111.54500000000002,true,true,prompt_response,11,deepseek_v4_flash_safety_judge
Cybercrime | Disrupting Public Order | Physical Harm | Violence,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Disrupting Public Order | Privacy Violation,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Disrupting Public Order | Privacy Violation | Violence,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Disrupting Public Order | Violence,62.125,true,true,prompt_response,5,deepseek_v4_flash_safety_judge
Cybercrime | Drugs,23.764,false,true,prompt_response,4,deepseek_v4_flash_safety_judge
Cybercrime | Drugs,1816.1520000000003,true,true,prompt_response,108,deepseek_v4_flash_safety_judge
Cybercrime | Drugs | Economic Crime,586.7919999999996,true,true,prompt_response,36,deepseek_v4_flash_safety_judge
Cybercrime | Drugs | Economic Crime | Endangering National Security,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Drugs | Economic Crime | Human Trafficking,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Drugs | Economic Crime | Privacy Violation,50.366,true,true,prompt_response,5,deepseek_v4_flash_safety_judge
Cybercrime | Drugs | Economic Crime | White-Collar Crime,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Drugs | Endangering National Security,5.941,false,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Drugs | Endangering National Security,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Drugs | Endangering National Security | Privacy Violation,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Drugs | Human Trafficking,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Drugs | Human Trafficking | Privacy Violation,10.813,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Drugs | Human Trafficking | Psychological Harm,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Drugs | Mental Manipulation,25.656,true,true,prompt_response,2,deepseek_v4_flash_safety_judge
Cybercrime | Drugs | Physical Harm,44.425,true,true,prompt_response,4,deepseek_v4_flash_safety_judge
Cybercrime | Drugs | Privacy Violation,1088.0369999999998,true,true,prompt_response,74,deepseek_v4_flash_safety_judge
Cybercrime | Drugs | Privacy Violation | Sexual Content,5.941,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Drugs | Violence,5.941,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Economic Crime,40.394999999999996,false,true,prompt_response,4,deepseek_v4_flash_safety_judge
Cybercrime | Economic Crime,2084.763000000001,true,true,prompt_response,119,deepseek_v4_flash_safety_judge
Cybercrime | Economic Crime | Endangering National Security,119.50100000000002,true,true,prompt_response,12,deepseek_v4_flash_safety_judge
Cybercrime | Economic Crime | Endangering National Security | Mental Manipulation,17.823,true,true,prompt_response,3,deepseek_v4_flash_safety_judge
Cybercrime | Economic Crime | Endangering National Security | Mental Manipulation | White-Collar Crime,5.941,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Economic Crime | Endangering National Security | Privacy Violation,25.656,true,true,prompt_response,2,deepseek_v4_flash_safety_judge
Cybercrime | Economic Crime | Endangering National Security | Privacy Violation | Psychological Harm,5.941,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Economic Crime | Endangering National Security | Privacy Violation | White-Collar Crime,25.656,true,true,prompt_response,2,deepseek_v4_flash_safety_judge
Cybercrime | Economic Crime | Endangering National Security | White-Collar Crime,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Economic Crime | Environmental Damage,16.754,true,true,prompt_response,2,deepseek_v4_flash_safety_judge
Cybercrime | Economic Crime | Human Trafficking,25.656,true,true,prompt_response,2,deepseek_v4_flash_safety_judge
Cybercrime | Economic Crime | Human Trafficking | Privacy Violation,31.596999999999998,true,true,prompt_response,3,deepseek_v4_flash_safety_judge
Cybercrime | Economic Crime | Human Trafficking | Privacy Violation | Psychological Harm,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Economic Crime | Insulting Behavior,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Economic Crime | Insulting Behavior | Privacy Violation,5.941,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Economic Crime | Mental Manipulation,68.066,true,true,prompt_response,6,deepseek_v4_flash_safety_judge
Cybercrime | Economic Crime | Mental Manipulation | Violence,5.941,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Economic Crime | Physical Harm,37.538,true,true,prompt_response,4,deepseek_v4_flash_safety_judge
Cybercrime | Economic Crime | Physical Harm | Privacy Violation,18.769,true,true,prompt_response,2,deepseek_v4_flash_safety_judge
Cybercrime | Economic Crime | Physical Harm | Psychological Harm,21.626,true,true,prompt_response,2,deepseek_v4_flash_safety_judge
Cybercrime | Economic Crime | Physical Harm | Violence,25.656,true,true,prompt_response,2,deepseek_v4_flash_safety_judge
Cybercrime | Economic Crime | Privacy Violation,55.138000000000005,false,true,prompt_response,2,deepseek_v4_flash_safety_judge
Cybercrime | Economic Crime | Privacy Violation,1463.8090000000004,true,true,prompt_response,108,deepseek_v4_flash_safety_judge
Cybercrime | Economic Crime | Privacy Violation | Psychological Harm,42.41,true,true,prompt_response,4,deepseek_v4_flash_safety_judge
Cybercrime | Economic Crime | Privacy Violation | Violence,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Economic Crime | Privacy Violation | White-Collar Crime,81.96300000000001,true,true,prompt_response,8,deepseek_v4_flash_safety_judge
Cybercrime | Economic Crime | Psychological Harm,38.483999999999995,true,true,prompt_response,3,deepseek_v4_flash_safety_judge
Cybercrime | Economic Crime | Psychological Harm | Violence,23.641,true,true,prompt_response,2,deepseek_v4_flash_safety_judge
Cybercrime | Economic Crime | Violence,109.40700000000001,true,true,prompt_response,9,deepseek_v4_flash_safety_judge
Cybercrime | Economic Crime | White-Collar Crime,478.62699999999967,true,true,prompt_response,39,deepseek_v4_flash_safety_judge
Cybercrime | Endangering National Security,28.636,false,true,prompt_response,4,deepseek_v4_flash_safety_judge
Cybercrime | Endangering National Security,1250.9010000000003,true,true,prompt_response,89,deepseek_v4_flash_safety_judge
Cybercrime | Endangering National Security | Endangering Public Health,38.483999999999995,true,true,prompt_response,3,deepseek_v4_flash_safety_judge
Cybercrime | Endangering National Security | Endangering Public Health | Physical Harm,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Endangering National Security | Endangering Public Health | Psychological Harm,10.813,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Endangering National Security | Endangering Public Health | Violence,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Endangering National Security | Human Trafficking,5.941,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Endangering National Security | Human Trafficking | Privacy Violation | Psychological Harm | Violence,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Endangering National Security | Mental Manipulation,88.74600000000001,true,true,prompt_response,9,deepseek_v4_flash_safety_judge
Cybercrime | Endangering National Security | Physical Harm,87.781,true,true,prompt_response,7,deepseek_v4_flash_safety_judge
Cybercrime | Endangering National Security | Physical Harm | Privacy Violation,5.941,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Endangering National Security | Privacy Violation,686.6159999999996,true,true,prompt_response,53,deepseek_v4_flash_safety_judge
Cybercrime | Endangering National Security | Privacy Violation | Violence,5.941,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Endangering National Security | Psychological Harm,5.941,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Endangering National Security | Violence,262.443,true,true,prompt_response,20,deepseek_v4_flash_safety_judge
Cybercrime | Endangering Public Health,38.483999999999995,true,true,prompt_response,3,deepseek_v4_flash_safety_judge
Cybercrime | Endangering Public Health | Environmental Damage,111.34500000000001,true,true,prompt_response,5,deepseek_v4_flash_safety_judge
Cybercrime | Endangering Public Health | Psychological Harm,25.656,true,true,prompt_response,2,deepseek_v4_flash_safety_judge
Cybercrime | Environmental Damage,25.656,true,true,prompt_response,2,deepseek_v4_flash_safety_judge
Cybercrime | Environmental Damage | Privacy Violation,5.941,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Environmental Damage | White-Collar Crime,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Human Trafficking | Mental Manipulation,18.769,true,true,prompt_response,2,deepseek_v4_flash_safety_judge
Cybercrime | Human Trafficking | Mental Manipulation | Privacy Violation,88.85000000000001,true,true,prompt_response,8,deepseek_v4_flash_safety_judge
Cybercrime | Human Trafficking | Mental Manipulation | Privacy Violation | Psychological Harm,31.596999999999998,true,true,prompt_response,3,deepseek_v4_flash_safety_judge
Cybercrime | Human Trafficking | Physical Harm,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Human Trafficking | Physical Harm | Privacy Violation,5.941,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Human Trafficking | Physical Harm | Privacy Violation | Psychological Harm | Violence,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Human Trafficking | Physical Harm | Privacy Violation | Sexual Content,5.941,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Human Trafficking | Physical Harm | Psychological Harm | Violence,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Human Trafficking | Privacy Violation,316.877,true,true,prompt_response,31,deepseek_v4_flash_safety_judge
Cybercrime | Human Trafficking | Privacy Violation | Psychological Harm,25.656,true,true,prompt_response,2,deepseek_v4_flash_safety_judge
Cybercrime | Human Trafficking | Privacy Violation | Sexual Content,18.769,true,true,prompt_response,2,deepseek_v4_flash_safety_judge
Cybercrime | Human Trafficking | Privacy Violation | Violence,25.656,true,true,prompt_response,2,deepseek_v4_flash_safety_judge
Cybercrime | Human Trafficking | Psychological Harm,25.656,true,true,prompt_response,2,deepseek_v4_flash_safety_judge
Cybercrime | Human Trafficking | Sexual Content,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Human Trafficking | White-Collar Crime,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Insulting Behavior,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Insulting Behavior | Mental Manipulation | Privacy Violation,18.769,true,true,prompt_response,2,deepseek_v4_flash_safety_judge
Cybercrime | Insulting Behavior | Mental Manipulation | Psychological Harm,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Insulting Behavior | Privacy Violation,36.468999999999994,true,true,prompt_response,3,deepseek_v4_flash_safety_judge
Cybercrime | Insulting Behavior | Privacy Violation | Psychological Harm,85.766,true,true,prompt_response,7,deepseek_v4_flash_safety_judge
Cybercrime | Insulting Behavior | Privacy Violation | Psychological Harm | Violence,5.941,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Insulting Behavior | Psychological Harm,18.769,true,true,prompt_response,2,deepseek_v4_flash_safety_judge
Cybercrime | Mental Manipulation,292.75199999999995,true,true,prompt_response,13,deepseek_v4_flash_safety_judge
Cybercrime | Mental Manipulation | Physical Harm | Privacy Violation,5.941,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Mental Manipulation | Privacy Violation,237.68700000000004,true,true,prompt_response,19,deepseek_v4_flash_safety_judge
Cybercrime | Mental Manipulation | Privacy Violation | Psychological Harm,31.596999999999998,true,true,prompt_response,3,deepseek_v4_flash_safety_judge
Cybercrime | Mental Manipulation | Privacy Violation | Psychological Harm | Violence,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Mental Manipulation | Privacy Violation | Sexual Content | Violence,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Mental Manipulation | Psychological Harm,18.769,true,true,prompt_response,2,deepseek_v4_flash_safety_judge
Cybercrime | Mental Manipulation | White-Collar Crime,10.813,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Physical Harm,325.31399999999985,true,true,prompt_response,18,deepseek_v4_flash_safety_judge
Cybercrime | Physical Harm | Privacy Violation,236.88300000000004,true,true,prompt_response,25,deepseek_v4_flash_safety_judge
Cybercrime | Physical Harm | Privacy Violation | Psychological Harm,11.882,true,true,prompt_response,2,deepseek_v4_flash_safety_judge
Cybercrime | Physical Harm | Privacy Violation | Sexual Content,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Physical Harm | Privacy Violation | Violence,5.941,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Physical Harm | Psychological Harm,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Cybercrime | Physical Harm | Psychological Harm | Violence,43.479,true,true,prompt_response,5,deepseek_v4_flash_safety_judge
Cybercrime | Physical Harm | Violence,238.679,true,true,prompt_response,16,deepseek_v4_flash_safety_judge
Cybercrime | Privacy Violation,150.89400000000003,false,true,prompt_response,13,deepseek_v4_flash_safety_judge
Cybercrime | Privacy Violation,4582.511999999997,true,true,prompt_response,235,deepseek_v4_flash_safety_judge
Cybercrime | Privacy Violation | Psychological Harm,313.72799999999984,true,true,prompt_response,29,deepseek_v4_flash_safety_judge
Cybercrime | Privacy Violation | Psychological Harm | Violence,25.656,true,true,prompt_response,2,deepseek_v4_flash_safety_judge
Cybercrime | Privacy Violation | Violence,104.65800000000002,true,true,prompt_response,11,deepseek_v4_flash_safety_judge
Cybercrime | Privacy Violation | White-Collar Crime,119.37800000000001,true,true,prompt_response,10,deepseek_v4_flash_safety_judge
Cybercrime | Violence,11.882,false,true,prompt_response,2,deepseek_v4_flash_safety_judge
Cybercrime | Violence,333.26999999999987,true,true,prompt_response,19,deepseek_v4_flash_safety_judge
Cybercrime | White-Collar Crime,78.879,true,true,prompt_response,7,deepseek_v4_flash_safety_judge
Discriminatory Behavior,200.81,false,true,prompt_response,12,deepseek_v4_flash_safety_judge
Discriminatory Behavior,1221.7450000000006,true,true,prompt_response,79,deepseek_v4_flash_safety_judge
Discriminatory Behavior | Disrupting Public Order,10.813,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Discriminatory Behavior | Disrupting Public Order | Endangering National Security | Insulting Behavior,107.41900000000001,true,true,prompt_response,4,deepseek_v4_flash_safety_judge
Discriminatory Behavior | Disrupting Public Order | Insulting Behavior,202.229,true,true,prompt_response,16,deepseek_v4_flash_safety_judge
Discriminatory Behavior | Disrupting Public Order | Insulting Behavior | Mental Manipulation,44.425,true,true,prompt_response,4,deepseek_v4_flash_safety_judge
Discriminatory Behavior | Disrupting Public Order | Insulting Behavior | Psychological Harm,22.695,true,true,prompt_response,3,deepseek_v4_flash_safety_judge
Discriminatory Behavior | Disrupting Public Order | Insulting Behavior | Psychological Harm | Violence,5.941,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Discriminatory Behavior | Disrupting Public Order | Insulting Behavior | Violence,24.709999999999997,true,true,prompt_response,3,deepseek_v4_flash_safety_judge
Discriminatory Behavior | Economic Crime | Human Trafficking,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Discriminatory Behavior | Economic Crime | Insulting Behavior,10.813,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Discriminatory Behavior | Economic Crime | Insulting Behavior | Physical Harm | White-Collar Crime,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Discriminatory Behavior | Endangering National Security | Insulting Behavior,10.813,false,true,prompt_response,1,deepseek_v4_flash_safety_judge
Discriminatory Behavior | Endangering National Security | Insulting Behavior,5.941,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Discriminatory Behavior | Endangering Public Health | Human Trafficking | Insulting Behavior | Physical Harm | Psychological Harm | Violence,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Discriminatory Behavior | Endangering Public Health | Insulting Behavior,16.754,true,true,prompt_response,2,deepseek_v4_flash_safety_judge
Discriminatory Behavior | Human Trafficking | Insulting Behavior,5.941,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Discriminatory Behavior | Human Trafficking | Insulting Behavior | Psychological Harm,5.941,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Discriminatory Behavior | Human Trafficking | Insulting Behavior | Sexual Content,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Discriminatory Behavior | Human Trafficking | Mental Manipulation | Privacy Violation,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Discriminatory Behavior | Human Trafficking | Physical Harm | Sexual Content,11.882,true,true,prompt_response,2,deepseek_v4_flash_safety_judge
Discriminatory Behavior | Insulting Behavior,213.76099999999997,false,true,prompt_response,15,deepseek_v4_flash_safety_judge
Discriminatory Behavior | Insulting Behavior,2229.2990000000013,true,true,prompt_response,128,deepseek_v4_flash_safety_judge
Discriminatory Behavior | Insulting Behavior | Mental Manipulation,35.522999999999996,true,true,prompt_response,4,deepseek_v4_flash_safety_judge
Discriminatory Behavior | Insulting Behavior | Mental Manipulation | Privacy Violation | Psychological Harm,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Discriminatory Behavior | Insulting Behavior | Mental Manipulation | Psychological Harm,5.941,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Discriminatory Behavior | Insulting Behavior | Physical Harm,27.567,true,true,prompt_response,3,deepseek_v4_flash_safety_judge
Discriminatory Behavior | Insulting Behavior | Physical Harm | Psychological Harm,5.941,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Discriminatory Behavior | Insulting Behavior | Physical Harm | Psychological Harm | Violence,11.882,true,true,prompt_response,2,deepseek_v4_flash_safety_judge
Discriminatory Behavior | Insulting Behavior | Privacy Violation,88.65,true,true,prompt_response,2,deepseek_v4_flash_safety_judge
Discriminatory Behavior | Insulting Behavior | Psychological Harm,201.16,true,true,prompt_response,15,deepseek_v4_flash_safety_judge
Discriminatory Behavior | Insulting Behavior | Psychological Harm | Sexual Content | Violence,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Discriminatory Behavior | Insulting Behavior | Psychological Harm | Violence,5.941,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Discriminatory Behavior | Insulting Behavior | Sexual Content | Violence,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Discriminatory Behavior | Insulting Behavior | Violence,24.71,true,true,prompt_response,3,deepseek_v4_flash_safety_judge
Discriminatory Behavior | Mental Manipulation | Psychological Harm,18.769,true,true,prompt_response,2,deepseek_v4_flash_safety_judge
Discriminatory Behavior | Psychological Harm,16.754,true,true,prompt_response,2,deepseek_v4_flash_safety_judge
Disrupting Public Order,155.539,false,true,prompt_response,12,deepseek_v4_flash_safety_judge
Disrupting Public Order,452.5779999999996,true,true,prompt_response,40,deepseek_v4_flash_safety_judge
Disrupting Public Order | Drugs,18.769,true,true,prompt_response,2,deepseek_v4_flash_safety_judge
Disrupting Public Order | Drugs | Physical Harm,10.813,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Disrupting Public Order | Economic Crime | Endangering National Security,35.522999999999996,true,true,prompt_response,4,deepseek_v4_flash_safety_judge
Disrupting Public Order | Economic Crime | Endangering National Security | Endangering Public Health | Mental Manipulation,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Disrupting Public Order | Economic Crime | White-Collar Crime,18.769,true,true,prompt_response,2,deepseek_v4_flash_safety_judge
Disrupting Public Order | Endangering National Security,32.439,false,true,prompt_response,3,deepseek_v4_flash_safety_judge
Disrupting Public Order | Endangering National Security,150.04800000000003,true,true,prompt_response,17,deepseek_v4_flash_safety_judge
Disrupting Public Order | Endangering National Security | Endangering Public Health,25.656,true,true,prompt_response,2,deepseek_v4_flash_safety_judge
Disrupting Public Order | Endangering National Security | Endangering Public Health | Physical Harm,12.828,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Disrupting Public Order | Endangering National Security | Endangering Public Health | Privacy Violation,10.813,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
Disrupting Public Order | Endangering National Security | Endangering Public Health | Violence,5.941,true,true,prompt_response,1,deepseek_v4_flash_safety_judge
